id,name,category,subcategory,color,color_family,undertone_match,fit,tags,gender,price,brand,url,image_url
tay_7523419586637,The Button Down Polo in Dark Navy Crochet,tops,Knits,navy,blue,cool,straight,prep,unisex,158.0,Taylor Stitch,https://www.taylorstitch.com/products/button-down-polo-in-dark-navy-crochet-2603,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Button_Down_Polo-DarkNavyCrochet_portrait_001.jpg?v=1773255793
tay_7523420012621,The Surplus Short in Field Olive Reverse Sateen,tops,Bottoms,olive,green,warm,slim,everyday,unisex,128.0,Taylor Stitch,https://www.taylorstitch.com/products/surplus-short-in-field-olive-reverse-sateen-2603,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Surplus_Short-FieldOliveReverseSateen_portrait_001.jpg?v=1772816306
tay_7523420110925,The Surplus Short in Navy Reverse Sateen,tops,Bottoms,navy,blue,cool,slim,everyday,unisex,128.0,Taylor Stitch,https://www.taylorstitch.com/products/surplus-short-in-navy-reverse-sateen-2603,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Surplus_Short-DarkNavyReverseSateen_portrait_001.jpg?v=1772815612
tay_7523419750477,The Apres Short in Heather Oat Crepe,bottoms,Bottoms,gray,gray,neutral,slim,everyday,womens,108.0,Taylor Stitch,https://www.taylorstitch.com/products/apres-short-in-heather-oat-crepe-2603,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Apres_Short-HeatherOatCrepe_portrait_001.jpg?v=1773089483
tay_7523416309837,The Valencia Sweater Polo in Heather Cilantro Rib,tops,Knits,gray,gray,neutral,slim,prep,womens,145.0,Taylor Stitch,https://www.taylorstitch.com/products/valencia-sweater-polo-in-heather-cilantro-rib-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Valencia_Sweater_Polo_in_Heather_Cilantro_portrait_001.jpg?v=1772820393
tay_7523416277069,The Valencia Sweater Polo in Heather Grey Rib,tops,Knits,gray,gray,neutral,slim,prep,womens,145.0,Taylor Stitch,https://www.taylorstitch.com/products/valencia-sweater-polo-in-heather-grey-rib-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_Polo-HeatherGreyBirdseyeMerino_portrait_001.jpg?v=1772817253
tay_7523416244301,The Valencia Sweater Polo in Heather Clear Blue Rib,tops,Knits,gray,gray,neutral,slim,prep,womens,145.0,Taylor Stitch,https://www.taylorstitch.com/products/valencia-sweater-polo-in-heather-clear-blue-rib-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Valencia_Sweater_Polo_in_Heather_Clear_Blue_Rib_portrait_001.jpg?v=1772820014
tay_7523416408141,The Valencia Sweater Polo in Heather Coal Rib,tops,Knits,gray,gray,neutral,slim,prep,womens,145.0,Taylor Stitch,https://www.taylorstitch.com/products/valencia-sweater-polo-in-heather-coal-rib-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Valencia_Sweater_Polo_in_Heather_Coal_Rib_portrait_001.jpg?v=1772819250
tay_7523416834125,The Nichols Polo in Heather Grey Birdseye Merino,tops,Knits,gray,gray,neutral,slim,prep,womens,188.0,Taylor Stitch,https://www.taylorstitch.com/products/nichols-polo-in-heather-grey-birdseye-merino-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Nichols_Polo-HeatherGreyBirdseyeMerino_portrait_001.jpg?v=1772727106
tay_7523417686093,The Apres Short in Organic Faded Black Foundation Twill,bottoms,Bottoms,black,neutral,neutral,slim,everyday,unisex,108.0,Taylor Stitch,https://www.taylorstitch.com/products/apres-short-in-organic-faded-black-foundation-twill-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Apres_Short-OrganicFadedBlackFoundationTwill_portrait_001.jpg?v=1772053927
tay_7523417292877,The Sunset Pant in Rinsed Indigo Terry,bottoms,Bottoms,indigo,blue,cool,slim,everyday,unisex,118.0,Taylor Stitch,https://www.taylorstitch.com/products/sunset-pant-in-rinsed-indigo-terry-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Sunset_Pant-RinsedIndigoTerry_portrait_001.jpg?v=1771882498
tay_7523415720013,The Short Sleeve Jack in Washed Indigo Oxford,bottoms,Wovens,indigo,blue,cool,slim,prep,unisex,128.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-jack-in-washed-indigo-oxford-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Short_Sleeve_Jack-WashedIndigoOxford_portrait_001.jpg?v=1771554491
tay_7523416932429,The Nichols Polo in Navy Birdseye Merino,tops,Knits,navy,blue,cool,slim,prep,unisex,188.0,Taylor Stitch,https://www.taylorstitch.com/products/nichols-polo-in-navy-birdseye-merino-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Nichols_Polo-NavyBirdseyeMerino_portrait_001.jpg?v=1771007430
tay_7355709030477,The Short Sleeve Jack in Rinsed Indigo Oxford,bottoms,Wovens,indigo,blue,cool,slim,prep,unisex,128.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-jack-in-rinsed-indigo-oxford-2505,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q225_The_Short_Sleeve_Jack-RinsedIndigoOxford_portrait_001.jpg?v=1771537915
tay_7355709259853,The Short Sleeve Utility Shirt in Roped Indigo,tops,Wovens,indigo,blue,cool,slim,workwear,unisex,128.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-utility-shirt-in-roped-indigo-2504,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q225_The_Short_Sleeve_Utility_Shirt-RopedIndigo_portrait_001.jpg?v=1771538568
tay_7523411001421,The Democratic Jean in Japanese Washed Indigo Sashiko,bottoms,Bottoms,indigo,blue,cool,slim,vintage,unisex,228.0,Taylor Stitch,https://www.taylorstitch.com/products/democratic-jean-in-japanese-washed-indigo-sashiko-2603,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Democratic_Jean-JapaneseWashedIndigoSashiko_portrait_001.jpg?v=1771006205
tay_7523410903117,The Ryder Jacket in Japanese Washed Indigo Sashiko,outerwear,Outerwear,indigo,blue,cool,slim,everyday,unisex,298.0,Taylor Stitch,https://www.taylorstitch.com/products/ryder-jacket-in-japanese-washed-indigo-sashiko-2603,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Ryder_Jacket-JapaneseWashedIndigoSashiko_portrait_001.jpg?v=1771005815
tay_7523415031885,The Longshore Jacket in Tobacco Chipped Canvas,outerwear,Outerwear,brown,brown,warm,slim,workwear,unisex,198.0,Taylor Stitch,https://www.taylorstitch.com/products/longshore-jacket-in-tobacco-chipped-canvas-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_longshore_jacket_tobaccochippedcanvas_portrait_001.jpg?v=1770677319
tay_6920347549773,The Short Sleeve California in Washed Indigo Slub,bottoms,Wovens,indigo,blue,cool,slim,tailored,unisex,118.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-california-in-indigo-bleach-wash-slub-2404,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q224_ss_california_washedindigo_slub_001.jpg?v=1770830301
tay_6920347517005,The Short Sleeve California in Rinsed Indigo Slub,tops,Knits,indigo,blue,cool,slim,tailored,unisex,118.0,Taylor Stitch,https://www.taylorstitch.com/products/short-sleeve-california-in-rinsed-indigo-slub-2404,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q224_ss_california_rinsedindigo_slub_001.jpg?v=1770830098
tay_7523416604749,The Newton Sweater Polo in Heather Oatmeal,tops,Knits,gray,gray,neutral,slim,prep,womens,178.0,Taylor Stitch,https://www.taylorstitch.com/products/newton-sweater-polo-in-heather-oatmeal-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Newton_Sweater_Polo-HeatherOatmeal__portrait_001.jpg?v=1770676269
tay_7523416703053,The Newton Sweater Polo in Heather Clear Blue,tops,Knits,gray,gray,neutral,slim,prep,womens,178.0,Taylor Stitch,https://www.taylorstitch.com/products/newton-sweater-polo-in-heather-clear-blue-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_NewtonSweaterPolo_HeatherClearBlue_portrait_01.jpg?v=1770759694
tay_7523414966349,The Fremont Jacket in Rinsed Indigo Dobby Denim,outerwear,Outerwear,indigo,blue,cool,slim,everyday,unisex,238.0,Taylor Stitch,https://www.taylorstitch.com/products/fremont-jacket-in-rinsed-indigo-dobby-denim-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Fremont_Jacket-RinsedIndigoDobbyDenim_portrait_001.jpg?v=1770415371
tay_7523417391181,The Mariner Jean in Rinsed Indigo Dobby Denim,bottoms,Bottoms,indigo,blue,cool,slim,everyday,unisex,188.0,Taylor Stitch,https://www.taylorstitch.com/products/mariner-jean-in-rinsed-indigo-dobby-denim-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Mariner_Jean-RinsedIndigoDobbyDenim_portrait_001.jpg?v=1770414705
tay_7523417620557,The Foundation Short in Organic Smoked Olive,bottoms,Bottoms,olive,green,warm,slim,vintage,unisex,118.0,Taylor Stitch,https://www.taylorstitch.com/products/foundation-short-in-organic-smoked-olive-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Foundation_Short_in_Organic_Smoked_Olive_portrait_001.jpg?v=1770140084
tay_7523417522253,The Foundation Short in Organic Khaki,bottoms,Bottoms,khaki,brown,warm,slim,vintage,unisex,118.0,Taylor Stitch,https://www.taylorstitch.com/products/foundation-short-in-organic-khaki-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Foundation_Short_in_Organic_Khaki_portrait_001.jpg?v=1770237933
tay_7523416506445,The Topsail Sweater in Dark Navy,tops,Knits,navy,blue,cool,slim,everyday,unisex,188.0,Taylor Stitch,https://www.taylorstitch.com/products/topsail-sweater-in-dark-navy-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Topsail_Sweater-DarkNavy_portrait_001.jpg?v=1770145527
tay_7523414900813,The Shifter Jacket in Dark Grey Pigment Canvas,outerwear,Outerwear,gray,gray,neutral,slim,workwear,mens,208.0,Taylor Stitch,https://www.taylorstitch.com/products/shifter-jacket-in-dark-grey-pigment-canvas-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_The_Shifter_Jacket-DarkGreyPigmentCanvas_portrait_001.jpg?v=1769805498
tay_7523417096269,The Breakwater Pant in Rinsed Indigo Ripstop,bottoms,Bottoms,indigo,blue,cool,slim,everyday,unisex,142.0,Taylor Stitch,https://www.taylorstitch.com/products/breakwater-pant-in-rinsed-indigo-ripstop-2602,https://cdn.shopify.com/s/files/1/0070/1922/files/instock_m_q126_BreakwaterPant_RinsedIndigoRipstop_portrait_001.jpg?v=1769707157
out_10389366636728,Sur Sweatshirt - Outerworn,tops,Loungewear Tops,olive,green,warm,slim,everyday,unisex,90.0,Outerknown,https://www.outerknown.com/products/sur-sweatshirt-mdmnajs5oj-resale,https://cdn.shopify.com/s/files/1/2445/4975/files/1240020_Sur_Sweatshirt_OVB_1280_74326ada-616b-4ea4-b799-65a4c7473437.jpg?v=1777597446
out_10389365817528,Ambassador Slim Fit - Outerworn,bottoms,Pants,black,neutral,neutral,slim,tailored,unisex,25.0,Outerknown,https://www.outerknown.com/products/ambassador-slim-fit-ysxbfsjdeu-resale,https://cdn.shopify.com/s/files/1/2445/4975/files/1630002_outerknown_Ambassador_JBL_1.jpg?v=1777597327
out_10388451000504,Beachcomber S/S Shirt - Outerworn,tops,Woven Shirts,black,neutral,neutral,slim,everyday,unisex,75.0,Outerknown,https://www.outerknown.com/products/beachcomber-ss-shirt-je3-nzu6fp-resale,https://cdn.shopify.com/s/files/1/2445/4975/files/1310100_outerknown_beachcombersshirt_pch_f1_1_0bbdb305-68d3-4ab6-9c6f-caba84d12deb.jpg?v=1777512246
